module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,78536,78536
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",69024,69024
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,77742,70653
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,69103,64011
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,7651,6136
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,73787,71571
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,65864,61417
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,60325,57296
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,69673,65833
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,2030,960
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,2170,997
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",1565,754
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,373,244
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,77011,73919
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),52677,51605
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),1286,1116
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,736,617
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),16218,8864
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,998,179
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,556,26
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,2014,2014
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",23,23
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,32408,24148
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,36,10
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,16,3
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,0,0
