module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,355860,355860
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",307714,307714
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,354284,325467
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,338315,318280
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,35555,29997
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,358337,348358
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,328114,302691
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,288903,272972
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,364707,347773
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,9827,5577
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,11214,5623
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",8114,4382
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1334,643
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,368465,352133
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),247999,240966
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),5954,5315
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,3664,3317
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),76824,46041
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,4115,596
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,1982,143
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,7723,7723
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",107,107
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,159888,118886
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,234,42
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,93,11
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,50,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,44,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),148,148
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),84,84
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,15,15
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,142,142
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),294536,111568
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,48020,23800
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,213588,213583
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,125711,36096
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",19736,6160
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,151420,57402
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,142715,53709
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),8319,4591
M4 [Pregnancy outcome & details of new-born],Still Birth,2016,1737
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),4318,3269
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,2615,447
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,1118,374
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,199,58
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,157,58
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,513,57
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,287724,109513
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,17001,10578
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,287922,109106
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",11167,10065
