module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,623889,623889
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",553073,553073
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,600070,571059
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,587130,562302
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,62937,58358
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,653034,634796
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,596989,578614
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,524912,516102
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,634465,618580
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,14805,11348
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,17965,13020
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",10856,8416
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1716,1256
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,693812,675376
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),401185,391593
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),11709,9481
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,6637,5648
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),127157,103427
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,4199,2679
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,885,379
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,8727,8727
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",75,75
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,265508,227638
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,254,170
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,73,62
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,96,4
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,21,5
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),40,40
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),44,44
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,19,19
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,66,66
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),599822,219367
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,76534,42172
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,409676,409143
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,282249,78887
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",38274,15987
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,308532,112446
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,291268,106010
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),15467,10328
M4 [Pregnancy outcome & details of new-born],Still Birth,2890,2316
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),7257,6180
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,4328,1136
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,1650,706
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,160,54
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,70,41
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,242,30
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,579995,216041
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,31865,21132
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,574224,214824
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",29936,28338
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,14856,13997
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,92,92
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,468042,446204
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,502665,442317
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,431585,372134
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,54336,53924
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,104039,101689
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,49350,49036
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated -Female,96851,94824
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,963,866
M8 [Family Planning],Number of Laparoscopic sterilizations (excluding post abortion) conducted,8910,3056
M8 [Family Planning],Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,41637,32394
M8 [Family Planning],Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,47506,32757
M8 [Family Planning],Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,1343,800
M8 [Family Planning],Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),30505,27319
M8 [Family Planning],Number of Postpartum (within 48 hours of delivery) IUCD insertions,13890,13311
M8 [Family Planning],Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,421,315
M8 [Family Planning],Number of IUCD Removals,5925,4724
M8 [Family Planning],Number of complications following IUCD Insertion,211,184
M8 [Family Planning],Injectable Contraceptive-Antara Program- First Dose,833,798
M8 [Family Planning],Injectable Contraceptive-Antara Program- Second Dose,187,170
M8 [Family Planning],Injectable Contraceptive-Antara Program- Third Dose,94,70
M8 [Family Planning],Injectable Contraceptive-Antara Program- Fourth or more than fourth,24,18
M8 [Family Planning],Number of Combined Oral Pill cycles distributed,2154889,2153117
M8 [Family Planning],Number of Condom pieces distributed,18485067,18475927
M8 [Family Planning],Number of Centchroman (weekly) pill strips distributed,87786,87748
M8 [Family Planning],Number of Emergency Contraceptive Pills (ECP) given,16796,16417
M8 [Family Planning],Number of Pregnancy Test Kits (PTK) used,615296,577671
M8 [Family Planning],Complications following male sterilization,8,8
M8 [Family Planning],Complications following female sterilization,9,9
M8 [Family Planning],Failures following male sterilization,0,0
M8 [Family Planning],Failures following female sterilization,0,0
M8 [Family Planning],Deaths following male sterilization,0,0
M8 [Family Planning],Deaths following female sterilization,4,4
M9 [CHILD IMMUNISATION],Child immunisation - Vitamin K (Birth Dose),569269,224143
M9 [CHILD IMMUNISATION],Child immunisation - BCG,652509,360498
M9 [CHILD IMMUNISATION],Child immunisation - DPT1,1015,439
M9 [CHILD IMMUNISATION],Child immunisation - DPT2,601,381
M9 [CHILD IMMUNISATION],Child immunisation - DPT3,556,372
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 1,632548,624807
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 2,613883,607448
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 3,623920,616773
M9 [CHILD IMMUNISATION],Child immunisation - OPV 0 (Birth Dose),600592,276360
M9 [CHILD IMMUNISATION],Child immunisation - OPV1,630820,622514
M9 [CHILD IMMUNISATION],Child immunisation - OPV2,611588,605296
M9 [CHILD IMMUNISATION],Child immunisation - OPV3,621935,615131
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B0 (Birth Dose),570113,234240
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B1,6454,5942
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B2,5836,5594
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B3,6054,5851
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),628505,621490
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),620112,614405
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 1,630819,623644
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 2,613345,607245
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 3,622893,616888
M9 [CHILD IMMUNISATION],Child Immunisation- PCV 1,564941,561171
M9 [CHILD IMMUNISATION],Child Immunisation- PCV 2,561260,557621
