module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,764878,764878
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",680338,680338
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,732903,696887
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,717182,686631
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,78731,72759
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,797640,774997
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,732727,710139
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,644476,634085
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,771909,752446
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,17976,13891
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,21499,15867
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",13364,10579
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,2047,1536
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,848691,826107
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),497590,483912
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),15478,12696
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,8704,7488
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),157350,129191
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,5073,3031
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,1168,495
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,10784,10784
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",90,90
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,328590,282187
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,399,275
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,79,67
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,96,4
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,22,6
