module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,290106,290106
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",250673,250673
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,289090,265455
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,274027,257314
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,28748,24306
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,286545,278923
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,258621,241363
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,231783,220110
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,287974,274372
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,7760,4369
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,8708,4215
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",6079,3129
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1100,507
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,292048,279910
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),197830,192506
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),4705,4153
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,2736,2461
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),60122,35986
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,3404,509
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,1659,111
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,6644,6644
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",84,84
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,122989,90836
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,161,37
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,84,10
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,50,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,44,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),138,138
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),59,59
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,13,13
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,109,109
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),226000,85523
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,37479,18413
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,165374,165369
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,94888,27393
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",15223,4748
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,116141,43951
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,109489,41281
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),6212,3349
M4 [Pregnancy outcome & details of new-born],Still Birth,1605,1385
