module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,197447,197447
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",171603,171603
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,172284,172051
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,181479,171210
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,16500,15912
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,202327,198740
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,161453,159855
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,99172,98642
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,201184,193858
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,3655,3655
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,3709,3709
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",3023,3023
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,426,426
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,171990,169461
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),132205,132117
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),2872,2872
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,2153,2153
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),3582,3467
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,318,279
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,256,256
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,1867,1867
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",56,56
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,41712,40719
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,484,484
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,26,26
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,20,20
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,24,24
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),392,392
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),207,207
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,25,25
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,572,572
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),161710,73685
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,20289,15285
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,99990,91683
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,69258,24879
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",8378,4340
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,83076,37849
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,78342,35706
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),2927,2748
M4 [Pregnancy outcome & details of new-born],Still Birth,1613,1053
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),2352,2206
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,437,323
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,186,178
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,11,11
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,11,11
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,31,31
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,159929,72725
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,6936,6152
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,157130,71795
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",8565,8565
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,4342,4342
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,1790,1790
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,128334,116581
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,99906,99906
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,80783,80783
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,8774,8774
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,13266,13266
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,8375,8375
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated -Female,12623,12623
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,17,7
M8 [Family Planning],Number of Laparoscopic sterilizations (excluding post abortion) conducted,161,18
M8 [Family Planning],Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,6948,2313
M8 [Family Planning],Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,12535,7367
