module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,853993,853431
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",745994,745994
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,855670,791204
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,813382,767748
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,86592,75423
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,888298,855770
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,816590,751136
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,708683,670280
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,895158,849857
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,25256,13734
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,27850,16362
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",18606,12112
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,2974,1805
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,939747,897148
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),626011,602284
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),17213,14628
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,10172,9046
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),203877,137651
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,9410,3298
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,3285,451
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,16719,16719
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",188,188
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,408715,322115
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,536,188
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,159,35
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,125,30
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,75,3
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),165,165
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),96,96
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,16,16
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,177,177
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),751511,285817
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,120105,61219
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,543263,541752
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,316793,95427
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",49587,17259
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,385972,146625
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,366843,138268
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),20092,11365
M4 [Pregnancy outcome & details of new-born],Still Birth,5424,3985
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),10454,8191
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,6344,1407
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,2775,1111
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,421,140
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,349,139
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,863,177
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,727135,281693
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,44008,27510
