module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,132095,132095
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",115150,115150
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,113429,113279
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,115707,107947
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,10293,9831
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,132441,130207
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,104932,103967
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,65726,65221
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,133557,128595
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,2592,2592
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,2380,2380
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",1879,1879
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,237,237
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,113060,111321
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),85729,85683
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),1796,1796
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,1338,1338
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2466,2413
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,176,159
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,125,125
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,1297,1297
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",55,55
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,22995,22310
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,453,453
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,26,26
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,16,16
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,19,19
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),290,290
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),147,147
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,21,21
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,443,443
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),107285,49865
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,12730,10191
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,63865,58550
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,45587,16377
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",5597,2643
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,55164,25562
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,51963,24209
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),2007,1892
M4 [Pregnancy outcome & details of new-born],Still Birth,1071,745
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),1516,1443
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,292,223
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,117,115
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,7,7
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,7,7
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,14,14
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,105847,49123
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,4740,4179
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,103653,48253
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",5834,5834
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,2750,2750
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,1225,1225
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,83613,76166
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,65660,65660
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,53123,53123
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,5554,5554
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,7943,7943
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,5346,5346
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated -Female,7531,7531
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,6,3
M8 [Family Planning],Number of Laparoscopic sterilizations (excluding post abortion) conducted,16,11
M8 [Family Planning],Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,3955,1083
M8 [Family Planning],Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,7584,4703
M8 [Family Planning],Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,103,103
M8 [Family Planning],Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),12433,6192
M8 [Family Planning],Number of Postpartum (within 48 hours of delivery) IUCD insertions,436,421
M8 [Family Planning],Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,84,84
M8 [Family Planning],Number of IUCD Removals,759,759
M8 [Family Planning],Number of complications following IUCD Insertion,48,48
