module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,503282,503282
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",433085,433085
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,433559,433064
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,472950,447935
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,44665,42689
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,543379,534431
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,436501,433106
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,262441,261780
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,560524,543860
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,10060,10060
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,9528,9525
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",7367,7367
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1189,1189
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,475951,470556
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),359476,359377
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),8972,8972
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,6504,6504
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),11578,11419
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,991,908
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,524,524
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,4291,4291
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",120,120
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,116120,113470
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,596,596
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,70,70
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,53,53
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,64,64
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1062,1062
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),630,630
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,49,49
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,1459,1459
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),448092,196287
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,57862,42316
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,282822,266814
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,193294,64124
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",25262,12393
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,229785,101082
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,218410,95585
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),7028,6638
M4 [Pregnancy outcome & details of new-born],Still Birth,4402,2828
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),5650,5241
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,941,668
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,403,363
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,30,30
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,30,30
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,52,52
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,444170,194175
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,19132,17317
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,439182,192018
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",21511,21511
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,10781,10781
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,4547,4547
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,366070,336182
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,298990,293247
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,243301,237558
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,24905,24887
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,38306,38242
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,23187,23169
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated -Female,35584,35520
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,94,57
M8 [Family Planning],Number of Laparoscopic sterilizations (excluding post abortion) conducted,208,65
M8 [Family Planning],Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,23455,8131
M8 [Family Planning],Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,37755,20455
M8 [Family Planning],Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,213,213
M8 [Family Planning],Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),48966,23896
M8 [Family Planning],Number of Postpartum (within 48 hours of delivery) IUCD insertions,1625,1582
M8 [Family Planning],Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,211,211
M8 [Family Planning],Number of IUCD Removals,3296,3296
M8 [Family Planning],Number of complications following IUCD Insertion,414,414
M8 [Family Planning],Injectable Contraceptive-Antara Program- First Dose,202,202
M8 [Family Planning],Injectable Contraceptive-Antara Program- Second Dose,131,131
M8 [Family Planning],Injectable Contraceptive-Antara Program- Third Dose,195,195
M8 [Family Planning],Injectable Contraceptive-Antara Program- Fourth or more than fourth,655,655
M8 [Family Planning],Number of Combined Oral Pill cycles distributed,1337114,1337114
M8 [Family Planning],Number of Condom pieces distributed,12537962,12537962
M8 [Family Planning],Number of Centchroman (weekly) pill strips distributed,56001,56001
M8 [Family Planning],Number of Emergency Contraceptive Pills (ECP) given,12566,12566
M8 [Family Planning],Number of Pregnancy Test Kits (PTK) used,303830,303830
M8 [Family Planning],Complications following male sterilization,0,0
M8 [Family Planning],Complications following female sterilization,0,0
M8 [Family Planning],Failures following male sterilization,0,0
M8 [Family Planning],Failures following female sterilization,0,0
M8 [Family Planning],Deaths following male sterilization,0,0
M8 [Family Planning],Deaths following female sterilization,0,0
M9 [CHILD IMMUNISATION],Child immunisation - Vitamin K (Birth Dose),385023,191808
M9 [CHILD IMMUNISATION],Child immunisation - BCG,465020,349241
M9 [CHILD IMMUNISATION],Child immunisation - DPT1,1456,1456
M9 [CHILD IMMUNISATION],Child immunisation - DPT2,1059,1059
M9 [CHILD IMMUNISATION],Child immunisation - DPT3,772,772
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 1,452218,444337
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 2,442118,433609
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 3,453828,441241
M9 [CHILD IMMUNISATION],Child immunisation - OPV 0 (Birth Dose),432370,274307
M9 [CHILD IMMUNISATION],Child immunisation - OPV1,452662,444101
M9 [CHILD IMMUNISATION],Child immunisation - OPV2,441756,432927
M9 [CHILD IMMUNISATION],Child immunisation - OPV3,451505,439490
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B0 (Birth Dose),416713,213192
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B1,1989,1989
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B2,1547,1547
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B3,5088,1588
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),449070,440940
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),445808,437762
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 1,446918,437417
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 2,436046,425890
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 3,442271,434509
M9 [CHILD IMMUNISATION],Child Immunisation- PCV 1,0,0
M9 [CHILD IMMUNISATION],Child Immunisation- PCV 2,0,0
M9 [CHILD IMMUNISATION],Child Immunisation- PCV Booster,0,0
M9 [CHILD IMMUNISATION],Child immunisation (9-11months) - Measles & Rubella (MR)/ Measles containing vaccine(MCV) - 1st Dose,477801,457926
M9 [CHILD IMMUNISATION],Child immunisation (9-11months) - Measles 1st dose,7436,7436
M9 [CHILD IMMUNISATION],Child immunisation (9-11months) - JE 1st dose,153359,153129
M9 [CHILD IMMUNISATION],Children aged between 9 and 11 months fully immunized- Male,251625,239878
M9 [CHILD IMMUNISATION],Children aged between 9 and 11 months fully immunized - Female,229354,219332
M9 [CHILD IMMUNISATION],Child immunisation(9 - 11 months) - Inactivated Injectable Polio Vaccine 3 (IPV 3),nan,nan
M9 [CHILD IMMUNISATION],Child immunisation(after 12 months) - Measles & Rubella (MR)/Measles containing vaccine(MCV)- 1st Dose,24998,24998
M9 [CHILD IMMUNISATION],Child immunisation (after 12 months) - Measles-1st dose,2626,2626
M9 [CHILD IMMUNISATION],Child immunisation (after 12 months) - JE 1st dose,9194,9194
M9 [CHILD IMMUNISATION],Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),418532,417411
M9 [CHILD IMMUNISATION],Child immunisation - Measles 2nd dose (More than 16 months),7565,7565
M9 [CHILD IMMUNISATION],Child immunisation - DPT 1st Booster,424911,423727
M9 [CHILD IMMUNISATION],Child immunisation - OPV Booster,423963,422766
M9 [CHILD IMMUNISATION],"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",1622,1622
M9 [CHILD IMMUNISATION],Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,128700,128490
M9 [CHILD IMMUNISATION],Child immunisation - Typhoid,399,399
M9 [CHILD IMMUNISATION],Children more than 5 years received DPT5 (2nd Booster),449338,438663
M9 [CHILD IMMUNISATION],Children more than 10 years received TT10/ Td10,396597,389623
M9 [CHILD IMMUNISATION],Children more than 16 years received TT16/ Td16,371152,363633
M9 [CHILD IMMUNISATION],Number of cases of AEFI - Abscess,6,6
M9 [CHILD IMMUNISATION],Number of cases of AEFI - Death,0,0
M9 [CHILD IMMUNISATION],Number of cases of AEFI - Others,135,135
