module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,428288,428288
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",369470,369470
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,370861,370366
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,406306,383201
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,38370,36790
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,463050,455254
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,372688,369421
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,222903,222242
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,475705,460515
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,8777,8777
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,8424,8421
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",6395,6395
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,977,977
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,401557,396564
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),302299,302200
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),7279,7279
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,5257,5257
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),9688,9529
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,765,682
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,431,431
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,3742,3742
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",111,111
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,96712,94396
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,593,593
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,36,36
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,48,48
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,59,59
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),949,949
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),554,554
