module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,414721,414721
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",365663,365663
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,399455,380220
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,392700,376300
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,41406,38403
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,435843,423375
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,393067,380663
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,348263,341919
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,419811,408573
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,9787,7540
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,12318,8697
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",7080,5262
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1159,822
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,442225,430868
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),260896,255288
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),6645,5510
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,3807,3218
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),88525,71559
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,2953,1908
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,547,191
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,5676,5676
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",49,49
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,179208,154091
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,127,114
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,53,48
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,77,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,4,4
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),9,9
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),21,21
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,10,10
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,18,18
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),395490,142942
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,51692,27546
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,261700,261404
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,185264,50893
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",24409,10320
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,203370,73274
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,191857,68927
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),10111,6675
M4 [Pregnancy outcome & details of new-born],Still Birth,1889,1594
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),4703,3985
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,2810,730
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,1113,498
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,128,41
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,38,28
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,168,19
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,385524,141401
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,20342,13607
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,382674,140461
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",21641,20595
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,9576,8964
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,33,33
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,303721,288084
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,322075,279160
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,275575,232871
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,35182,34892
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,68121,66677
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,32228,31996
